ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched
011,E,540,540.4856,9A,9B,1,0.06590000000005602,,,,
011,E,540,540.8849,9B,9A,1,0.0666999999999689,,,,
011,E,540,541.5506,9A,8B,1,0.10029999999994743,,,,
011,E,540,541.8839,8B,9A,1,0.06729999999993197,,,,
011,E,540,542.1508,9A,5B,1,0.3663999999999987,,,,
011,E,540,542.6508,5B,8A,1,0.03390000000001692,,,,
011,E,540,542.7178,8A,5B,1,0.033599999999978536,,,,
011,E,540,542.7514,5B,5A,1,0.032500000000027285,,,,
011,E,540,542.9174,5A,PB,1,0.73599999999999,,,,
011,E,540,544.9962,PB,7B,1,0.6798999999999751,,,,
011,E,540,545.8719,7B,5A,1,0.03309999999999036,,,,
011,E,540,545.905,5A,8A,1,0.0341000000000804,,,,
011,E,540,546.1049,8A,5B,1,0.03350000000000364,,,,
011,E,540,546.1384,5B,8B,1,0.06689999999991869,,,,
011,E,540,546.3381,8B,8A,1,0.3671999999999116,,,,
011,E,540,546.7053,8A,5A,1,0.03350000000000364,,,,
011,E,540,546.9388,5A,7A,1,0.3326999999999316,,,,
011,E,540,547.2715,7A,2B,1,0.03330000000005384,,,,
011,E,540,547.7713,2B,5B,1,0.03340000000002874,,,,
011,E,540,548.1377,5B,8A,1,0.03279999999995198,,,,
011,E,540,548.2376,8A,5B,1,0.03339999999991505,,,,
011,E,540,548.271,5B,8A,1,0.03290000000004056,,,,
011,E,540,548.3707,8A,5B,1,0.033999999999991815,,,,
011,E,540,548.8043,5B,8A,1,0.03300000000001546,,,,
011,E,540,548.8709,8A,5B,1,0.033599999999978536,,,,
011,E,540,548.9707,5B,8A,1,0.16849999999999454,,,,
011,E,540,549.1392,8A,7B,1,0.06569999999999254,,,,
011,E,540,549.4701,7B,8A,1,0.0667999999999438,,,,
011,E,540,550.2038,8A,5B,1,0.0322999999999638,,,,
011,E,540,550.2701,5B,8A,1,0.033200000000078944,,,,
011,E,540,552.2355,8A,5A,1,0.03340000000002874,,,,
011,E,540,552.2689,5A,7A,1,0.13389999999992597,,,,
011,E,540,552.4028,7A,4B,1,0.3991000000000895,,,,
011,E,540,552.8681,4B,4A,1,0.033599999999978536,,,,
011,E,540,553.1351,4A,1B,1,0.03309999999999036,,,,
011,E,540,553.2679,1B,1A,1,0.133199999999988,,,,
011,E,540,553.9052,1A,PB,1,0.9167999999999665,,,,
011,E,540,555.9268,PB,1A,1,0.9173000000000684,,,,
011,E,540,557.3217,1A,4A,1,0.6329000000000633,,,,
011,E,540,557.9546,4A,4B,1,0.13350000000002638,,,,
011,E,540,558.2214,4B,7A,1,0.133199999999988,,,,
011,E,540,558.3878,7A,4B,1,0.10009999999999764,,,,
011,E,540,558.5211,4B,7A,1,0.03379999999992833,,,,
011,E,540,558.5549,7A,7B,1,0.03300000000001546,,,,
011,E,540,558.8212,7B,8A,1,0.10019999999997253,,,,
011,E,540,559.1547,8A,5A,1,0.09929999999997108,,,,
011,E,540,559.6541,5A,5B,1,0.03340000000002874,,,,
011,E,540,560.1204,5B,9A,1,0.033299999999940155,,,,
011,E,540,560.3536,9A,6A,1,0.40019999999992706,,,,
011,E,540,560.9532,6A,6B,1,0.03339999999991505,,,,
011,E,540,561.3198,6B,3B,1,0.0664000000000442,,,,
011,E,540,565.1914,3B,6B,1,0.04729999999995016,,,,
011,E,540,565.6291,6B,9B,1,0.02070000000003347,,,,
011,E,540,565.8499,9B,6A,1,0.02879999999993288,,,,
011,E,540,566.0813,6A,9A,1,0.026299999999991996,,,,
011,E,540,566.3066,9A,5B,1,0.3002999999999929,,,,
011,E,540,566.741,5B,8A,1,0.03260000000000218,,,,
011,E,540,566.7736,8A,5A,1,0.03300000000001546,,,,
011,E,540,566.9731,5A,2B,1,0.3001999999999043,,,,
011,E,540,567.3065,2B,7A,1,0.033299999999940155,,,,
011,E,540,567.4734,7A,2A,1,0.06580000000008113,,,,
011,E,540,567.6068,2A,7A,1,0.06629999999995562,,,,
011,E,540,567.6731,7A,2A,1,0.066599999999994,,,,
011,E,540,567.8063,2A,4A,1,0.43280000000004293,,,,
011,E,540,568.8388,4A,4B,1,0.03350000000000364,,,,
011,E,540,569.0721,4B,7A,1,0.033200000000078944,,,,
011,E,540,569.505,7A,7B,1,0.10030000000006112,,,,
