ID,condition,start_interval,start_transition,Node,AOI_duration,pupil_diameter,active_disruption,passive_disruption,number_clicked
015,E,90,90.67163,5B,0.5652899999999903,,,,
015,E,90,90.97157,5A,0.2995500000000106,,,,
015,E,90,91.00463,7B,0.0338399999999978,,,,
015,E,90,91.93772,7A,0.0662799999999919,,,,
015,E,90,91.97084,4A,0.0332700000000016,,,,
015,E,90,92.17056,1A,0.166259999999994,,,,
015,E,90,92.92641,1B,0.0663700000000062,,,,
015,E,90,93.0369,4A,0.0350099999999997,,,,
015,E,90,93.10411,7B,0.0337899999999962,,,,
015,E,90,93.17077,2A,0.0661800000000027,,,,
015,E,90,93.23717,7B,0.066369999999992,,,,
015,E,90,93.3369,5B,0.0334699999999941,,,,
015,E,90,93.5705,8B,0.0334000000000003,,,,
015,E,90,93.63641,9A,0.034639999999996,,,,
015,E,90,93.97059,6A,0.3330300000000079,,,,
015,E,90,94.23675,6B,0.0999100000000083,,,,
015,E,90,94.50278,3A,0.2665099999999967,,,,
015,E,90,94.73633,6B,0.2335900000000066,,,,
015,E,90,94.76981,6A,0.033299999999997,,,,
015,E,90,95.00327,9B,0.2327899999999942,,,,
015,E,90,95.0359,6A,0.0334100000000034,,,,
015,E,90,95.06931,9B,0.0342699999999922,,,,
015,E,90,95.10358,6A,0.032510000000002,,,,
015,E,90,95.30395,9A,0.1666599999999931,,,,
015,E,90,95.55894,9B,0.0998699999999956,,,,
015,E,90,95.59177,9A,0.035260000000008,,,,
015,E,90,95.89151,5B,0.2664900000000045,,,,
015,E,90,95.95801,6A,0.0335900000000037,,,,
015,E,90,96.42507,9B,0.4661899999999974,,,,
015,E,90,96.45779,6A,0.0334000000000003,,,,
015,E,90,96.52433,9B,0.0665699999999986,,,,
015,E,90,96.55776,9A,0.033549999999991,,,,
015,E,90,96.75794,5A,0.1339600000000018,,,,
015,E,90,97.05772,7B,0.0335999999999927,,,,
015,E,90,97.4242,4B,0.0325799999999958,,,,
015,E,90,97.95728,4A,0.0332599999999985,,,,
015,E,90,98.35646,4B,0.1327600000000046,,,,
015,E,90,98.6899,2B,0.2998400000000032,,,,
015,E,90,98.75795,5A,0.0669199999999961,,,,
015,E,90,98.92351,5B,0.1664399999999943,,,,
015,E,90,98.99018,8A,0.0661199999999979,,,,
015,E,90,99.22337,5B,0.2334100000000063,,,,
015,E,90,99.29021,9A,0.03322,,,,
015,E,90,99.32343,9B,0.0336499999999944,,,,
015,E,90,99.55672,6A,0.1984999999999956,,,,
015,E,90,99.78966,3A,0.2335199999999986,,,,
015,E,90,100.0233,3B,0.2330599999999947,,,,
015,E,90,102.7224,PB,1.6888000000000003,,,,
015,E,90,103.1903,7A,0.0290999999999996,,,,
015,E,90,103.6783,5B,0.0653999999999968,,,,
015,E,90,103.7107,8B,0.0345999999999975,,,,
015,E,90,104.4765,6A,0.0999999999999943,,,,
015,E,90,105.1762,9A,0.0343000000000017,,,,
015,E,90,105.8765,5B,0.0338000000000136,,,,
015,E,90,106.1103,2B,0.2340999999999979,,,,
015,E,90,106.1444,5A,0.0322999999999922,,,,
015,E,90,106.4102,2A,0.133899999999997,,,,
015,E,90,106.4439,7B,0.0322000000000031,,,,
015,E,90,106.9423,4B,0.0335000000000036,,,,
015,E,90,107.176,7A,0.0339999999999918,,,,
015,E,90,107.4095,4A,0.0328000000000088,,,,
015,E,90,108.0754,7A,0.0335999999999927,,,,
015,E,90,108.2752,4B,0.0664000000000015,,,,
015,E,90,108.6418,7A,0.2993999999999914,,,,
015,E,90,108.6749,4B,0.0332000000000078,,,,
015,E,90,108.8081,7A,0.1340000000000003,,,,
015,E,90,109.0082,4B,0.1996000000000037,,,,
015,E,90,110.1439,PB,0.2900000000000062,,,,
015,E,90,111.0974,5B,0.2752999999999872,,,,
015,E,90,111.3978,6A,0.0324999999999988,,,,
015,E,90,111.7293,9B,0.1311999999999926,,,,
015,E,90,111.7628,6A,0.0339000000000027,,,,
015,E,90,111.8639,9B,0.0683000000000078,,,,
015,E,90,112.3952,6B,0.2319999999999993,,,,
015,E,90,112.4286,9B,0.0339999999999918,,,,
015,E,90,112.5627,6A,0.1335000000000121,,,,
015,E,90,112.5961,9A,0.0342999999999875,,,,
015,E,90,113.719,5B,0.2667000000000001,,,,
015,E,90,113.952,8A,0.2004000000000019,,,,
015,E,90,113.9858,5A,0.0323000000000064,,,,
015,E,90,114.3846,7B,0.0669000000000039,,,,
015,E,90,114.5515,7A,0.0330000000000012,,,,
015,E,90,117.982,PB,2.352000000000004,,,,
015,E,90,118.726,2A,0.2997000000000014,,,,
015,E,90,118.9932,5A,0.2335000000000064,,,,
015,E,90,119.0262,2B,0.0339000000000027,,,,
015,E,90,119.2597,5A,0.2329000000000007,,,,
015,E,90,119.3265,9A,0.0328999999999979,,,,
015,E,90,119.7921,9B,0.0334999999999894,,,,
015,E,90,119.8922,6B,0.0330999999999903,,,,
