ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched
019,0,480,480.0464,1A,1B,1,0.1320999999999799,,,,
019,0,480,480.9117,1B,PB,1,0.2989000000000033,,,,
019,0,480,483.7313,PB,7B,1,0.7309000000000196,,,,
019,0,480,484.6878,7B,4B,1,0.16770000000002483,,,,
019,0,480,485.0213,4B,4A,1,0.2004999999999768,,,,
019,0,480,485.2218,4A,9A,1,0.4659000000000333,,,,
019,0,480,486.2875,9A,PB,1,0.5328999999999837,,,,
019,0,480,493.9595,PB,5A,1,0.6548000000000229,,,,
019,0,480,494.7283,5A,8A,1,0.03260000000000218,,,,
019,0,480,494.7947,8A,8B,1,0.06620000000003756,,,,
019,0,480,502.0583,8B,PB,1,0.46560000000005175,,,,
019,0,480,505.6163,PB,8A,1,1.0528999999999655,,,,
019,0,480,507.0019,8A,5B,1,0.033299999999997,,,,
019,0,480,507.6013,5B,9A,1,0.23430000000001883,,,,
019,0,480,508.2009,9A,8B,1,0.933400000000006,,,,
019,0,480,509.1343,8B,5B,1,0.03440000000000509,,,,
019,0,480,509.5676,5B,8B,1,0.033499999999946795,,,,
019,0,480,509.6011,8B,5B,1,0.032100000000014006,,,,
019,0,480,509.6665,5B,8B,1,0.03350000000000364,,,,
019,0,480,509.7,8B,5B,1,0.03500000000002501,,,,
