ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption,number_clicked
034,E,600,600.3149,5B,0.0672000000000707,0,0.312544556969616,,,
034,E,600,600.9144,4B,0.5326000000000022,0,0.39744418196961584,,,
034,E,600,601.0476,2A,0.0339000000000169,0,0.11751455696961566,,,
034,E,600,601.1478,2B,0.0333000000000538,0,0.11873180696961594,,,
034,E,600,601.7929,5B,0.6453000000000202,0,0.30907287839818726,,,
034,E,600,602.1599,8B,0.3664999999999736,0,0.3879408524241613,,,
034,E,600,602.4597,2B,0.3001000000000431,0,0.4641327514140602,,,
034,E,600,602.5934,7B,0.133199999999988,0,0.4092835569696157,,,
034,E,600,602.6262,2B,0.0332999999999401,0,0.44137080696961584,,,
034,E,600,602.6595,5A,0.0331999999999652,0,0.3946178069696158,,,
034,E,600,602.8262,2B,0.1669000000000551,0,0.3989346069696158,,,
034,E,600,602.9263,5A,0.0996999999999843,0,0.26790380696961597,,,
034,E,600,603.0261,2B,0.1003000000000611,0,0.1757816403029492,,,
034,E,600,603.0596,5A,0.0329999999999017,0,0.06516530696961587,,,
034,E,600,603.2261,5B,0.1669000000000551,0,0.11477460696961583,,,
034,E,600,603.526,8B,0.2992000000000416,0,0.16715008474739357,,,
034,E,600,603.7923,9B,0.0334000000000287,0,0.14328280696961593,,,
034,E,600,603.8591,6A,0.0669000000000323,0,0.2224530569696157,,,
034,E,600,604.1255,9B,0.2658000000000129,0,0.29122149446961587,,,
034,E,600,604.1925,6A,0.0670000000000072,0,0.3837650569696157,,,
034,E,600,604.2254,9B,0.0331999999999652,0,0.3571573069696159,,,
034,E,600,604.5585,9A,0.3333999999999832,0,0.3743009069696159,,,
034,E,600,605.2253,7B,0.1001999999999725,0,0.29493524446961583,,,
034,E,600,605.4584,4A,0.2006000000000085,0,0.2707865569696159,,,
034,E,600,605.7584,1B,0.066599999999994,0,0.05947550696961583,,,
034,E,600,605.9914,1A,0.2001000000000203,0,-0.1297732763637175,,,
034,E,600,606.2917,2A,0.2660999999999376,0,-0.21281263053038416,,,
034,E,600,606.8973,4B,0.3338999999999714,0,-0.012337151363717455,,,
034,E,600,608.124,2A,1.232499999999959,0,0.12962164480745367,,,
034,E,600,608.2907,4B,0.1662999999999783,0,0.2885388069696157,,,
034,E,600,608.324,2A,0.0342000000000553,0,0.1263533069696159,,,
034,E,600,608.4575,2B,0.1319999999999481,0,0.18813205696961588,,,
034,E,600,608.791,5B,0.3332000000000334,0,0.19736295696961587,,,
034,E,600,609.0565,5A,0.2672000000000025,0,0.26920886946961586,,,
034,E,600,609.1232,8A,0.0335000000000036,0,0.11309330696961584,,,
034,E,600,609.4239,5B,0.2993999999999914,0,0.11581519585850472,,,
034,E,600,609.6227,2B,0.1997000000000071,0,0.1660921403029492,,,
034,E,600,609.9226,7B,0.2664000000000897,0,0.2631871819696159,,,
034,E,600,610.3887,6A,0.2679000000000542,0,-0.05847663053038424,,,
034,E,600,610.8881,9B,0.4983999999999469,0,-0.00855439303038416,,,
034,E,600,611.0875,6B,0.199799999999982,0,-0.0680006096970508,,,
034,E,600,611.1211,9B,0.0333000000000538,0,-0.13938619303038413,,,
034,E,600,611.3873,6A,0.2666000000000394,0,-0.07971219303038415,,,
034,E,600,611.754,9A,0.3663999999999987,0,0.030412943333252163,,,
034,E,600,612.421,4B,0.0335000000000036,0,0.2858153069696159,,,
034,E,600,612.5873,4A,0.0655000000000427,0,0.3135098069696158,,,
034,E,600,612.6203,4B,0.0338999999999032,0,0.35468580696961594,,,
