ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched
038,C,150,151.2012,PB,9A,1,0.43360000000001264,,,,
038,C,150,151.6348,9A,6A,1,0.033699999999981856,,,,
038,C,150,151.8007,6A,9B,1,0.03309999999999036,,,,
038,C,150,151.8674,9B,6A,1,0.03289999999998372,,,,
038,C,150,151.9003,6A,9A,1,0.03360000000000696,,,,
038,C,150,151.9339,9A,5B,1,0.03290000000001214,,,,
038,C,150,151.9668,5B,8A,1,0.0671999999999855,,,,
038,C,150,152.5014,8A,PB,1,0.5658000000000243,,,,
038,C,150,154.7239,PB,5B,1,0.6753000000000213,,,,
038,C,150,155.8667,5B,8A,1,1.233099999999979,,,,
038,C,150,157.1328,8A,5B,1,0.03260000000000218,,,,
038,C,150,157.1998,5B,PB,1,0.46469999999999345,,,,
038,C,150,161.2422,PB,5B,1,0.3807999999999936,,,,
038,C,150,161.7739,5B,8B,1,0.30119999999999436,,,,
038,C,150,162.0751,8B,5B,1,0.032200000000017326,,,,
038,C,150,162.3078,5B,8B,1,0.03330000000002542,,,,
038,C,150,162.3411,8B,5B,1,0.03269999999997708,,,,
038,C,150,162.3738,5B,8B,1,0.03340000000000032,,,,
038,C,150,162.5067,8B,5B,1,0.033299999999997,,,,
038,C,150,162.54,5B,7A,1,0.8328000000000202,,,,
038,C,150,163.3728,7A,7B,1,0.33339999999998327,,,,
038,C,150,163.8061,7B,4B,1,0.06700000000000728,,,,
038,C,150,164.1734,4B,4A,1,0.022600000000011278,,,,
038,C,150,164.196,4A,1B,1,0.3879000000000019,,,,
038,C,150,168.1386,1B,4B,1,0.0438000000000045,,,,
038,C,150,168.1824,4B,7B,1,0.022699999999986176,,,,
038,C,150,170.0711,7B,PB,1,1.2658999999999878,,,,
038,C,150,171.9575,PB,6A,1,0.5563999999999965,,,,
038,C,150,172.5474,6A,5B,1,0.13299999999998136,,,,
038,C,150,172.7146,5B,5A,1,0.16599999999999682,,,,
038,C,150,172.8806,5A,8A,1,0.03350000000000364,,,,
038,C,150,173.1799,8A,7B,1,0.066599999999994,,,,
038,C,150,173.5143,7B,5B,1,0.7660999999999945,,,,
038,C,150,174.2804,5B,PB,1,1.4972000000000207,,,,
038,C,150,177.501,PB,6A,1,0.90979999999999,,,,
038,C,150,178.5439,6A,5B,1,1.399799999999999,,,,
