ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched
019,C,420,424.5309,PB,2A,1,1.0733000000000175,,,,
019,C,420,426.0041,2A,2B,1,0.10059999999998581,,,,
019,C,420,426.5706,2B,2A,1,0.03280000000000882,,,,
019,C,420,427.3707,2A,2B,1,0.032300000000020646,,,,
019,C,420,427.9698,2B,7B,1,0.133199999999988,,,,
019,C,420,428.103,7B,2A,1,0.033999999999991815,,,,
019,C,420,428.2695,2A,7B,1,0.03489999999999327,,,,
019,C,420,428.3364,7B,2A,1,0.0333999999999719,,,,
019,C,420,428.4361,2A,7B,1,0.03319999999996526,,,,
019,C,420,428.5696,7B,PB,1,0.46570000000002665,,,,
019,C,420,433.2529,PB,4A,1,0.5285999999999831,,,,
019,C,420,433.9238,4A,4B,1,0.047999999999944976,,,,
019,C,420,433.9718,4B,7A,1,0.02050000000002683,,,,
019,C,420,434.91,7A,5B,1,0.06639999999998736,,,,
019,C,420,434.9764,5B,8A,1,0.033799999999985175,,,,
019,C,420,435.1482,8A,5B,1,0.027300000000025193,,,,
019,C,420,435.1755,5B,8A,1,0.021500000000003183,,,,
019,C,420,435.197,8A,5B,1,0.05639999999999645,,,,
019,C,420,435.657,5B,9B,1,0.06450000000000955,,,,
019,C,420,435.7215,9B,3A,1,0.03280000000000882,,,,
019,C,420,435.954,3A,6B,1,0.033299999999997,,,,
019,C,420,436.1544,6B,6A,1,0.03289999999998372,,,,
019,C,420,436.1873,6A,9B,1,0.0332000000000221,,,,
019,C,420,436.2877,9B,6A,1,0.03330000000005384,,,,
019,C,420,436.4204,6A,9A,1,0.0342000000000553,,,,
019,C,420,436.5549,9A,PB,1,0.4647000000000503,,,,
019,C,420,438.7587,PB,6A,1,1.1159000000000106,,,,
019,C,420,440.3067,6A,5B,1,0.16779999999999973,,,,
019,C,420,440.7075,5B,7A,1,0.2669999999999959,,,,
019,C,420,441.1738,7A,4B,1,0.03309999999999036,,,,
019,C,420,441.7065,4B,7A,1,0.43369999999998754,,,,
019,C,420,442.3956,7A,PB,1,0.46519999999998163,,,,
019,C,420,445.3375,PB,5B,1,0.6734000000000151,,,,
019,C,420,446.1187,5B,6A,1,0.39809999999999945,,,,
019,C,420,446.5168,6A,9A,1,0.1671000000000049,,,,
019,C,420,446.7171,9A,6A,1,0.032399999999995543,,,,
019,C,420,447.0499,6A,9B,1,0.033299999999997,,,,
019,C,420,447.4165,9B,4B,1,0.7648000000000366,,,,
019,C,420,448.2814,4B,PB,1,0.38880000000000337,,,,
