ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched
022,E,30,30.26534,1B,4B,1,0.06695000000000206,,,,
022,E,30,30.8653,4B,7A,1,0.033559999999997814,,,,
022,E,30,31.23185,7A,5A,1,0.033449999999998425,,,,
022,E,30,31.2653,5A,2B,1,0.033680000000000376,,,,
022,E,30,31.46541,2B,7A,1,0.03352000000000288,,,,
022,E,30,31.49893,7A,4B,1,0.7990099999999956,,,,
022,E,30,32.63142,4B,PB,1,0.5321899999999999,,,,
022,E,30,34.33043,PB,4A,1,0.3009399999999971,,,,
022,E,30,34.63137,4A,4B,1,0.0659300000000016,,,,
022,E,30,34.96349,4B,5A,1,0.03349999999999653,,,,
022,E,30,34.99699,5A,5B,1,0.03342000000000667,,,,
022,E,30,35.09752,5B,8A,1,0.032709999999994466,,,,
022,E,30,35.1977,8A,5B,1,0.09932000000000585,,,,
022,E,30,35.29702,5B,8B,1,0.0664199999999937,,,,
022,E,30,35.49765,8B,5B,1,0.03255000000000052,,,,
022,E,30,35.5302,5B,8B,1,0.033540000000002124,,,,
022,E,30,35.59731,8B,6A,1,0.06598000000000326,,,,
022,E,30,35.66329,6A,9B,1,0.034229999999993765,,,,
022,E,30,35.69752,9B,6A,1,0.09913000000000238,,,,
022,E,30,35.79665,6A,3A,1,0.03320999999999685,,,,
022,E,30,36.09669,3A,6A,1,0.033329999999999416,,,,
022,E,30,36.42962,6A,9A,1,0.03293000000000035,,,,
022,E,30,36.72956,9A,5B,1,0.06714999999999804,,,,
022,E,30,36.79671,5B,5A,1,0.03297000000000594,,,,
022,E,30,36.82968,5A,2B,1,0.03282999999999703,,,,
022,E,30,36.86251,2B,5A,1,0.0346800000000016,,,,
022,E,30,36.89719,5A,2B,1,0.032209999999999184,,,,
022,E,30,36.9294,2B,5A,1,0.033439999999998804,,,,
022,E,30,36.99636,5A,7A,1,0.06633000000000067,,,,
022,E,30,37.19614,7A,4B,1,0.033389999999997144,,,,
022,E,30,39.75039,4B,2A,1,0.035319999999998686,,,,
022,E,30,40.18357,2A,2B,1,0.03308999999999429,,,,
022,E,30,40.64968,2B,8A,1,0.033350000000005764,,,,
022,E,30,40.68303,8A,5B,1,0.03401999999999816,,,,
022,E,30,40.74962,5B,8A,1,0.033490000000000464,,,,
022,E,30,40.8497,8A,5B,1,0.03386000000000422,,,,
022,E,30,41.11653,5B,6A,1,0.06642000000000081,,,,
022,E,30,41.31618,6A,3A,1,0.033389999999997144,,,,
022,E,30,41.98278,3A,6A,1,0.033190000000004716,,,,
022,E,30,42.41575,6A,9A,1,0.03358000000000061,,,,
022,E,30,42.8156,9A,5B,1,0.06615999999999644,,,,
022,E,30,43.64866,5B,5A,1,0.06680000000000064,,,,
022,E,30,44.2818,5A,1B,1,0.3326600000000042,,,,
022,E,30,44.71466,1B,1A,1,0.03335999999999473,,,,
022,E,30,45.41486,1A,6A,1,0.2662600000000026,,,,
022,E,30,45.74783,6A,3A,1,0.13279999999999603,,,,
022,E,30,46.18026,3A,6B,1,0.03337000000000501,,,,
022,E,30,46.8802,6B,9B,1,0.03340000000000032,,,,
022,E,30,47.24757,9B,2B,1,1.1987799999999993,,,,
022,E,30,48.91315,2B,5B,1,0.03312999999999988,,,,
022,E,30,49.24635,5B,5A,1,0.03307000000000215,,,,
022,E,30,49.97932,5A,5B,1,0.2999799999999979,,,,
022,E,30,50.4136,5B,8B,1,0.03179999999999694,,,,
022,E,30,50.84621,8B,6A,1,0.06618999999999886,,,,
022,E,30,51.07889,6A,3A,1,0.033560000000001367,,,,
022,E,30,52.53337,3A,PB,1,1.765500000000003,,,,
022,E,30,55.75526,PB,4A,1,0.2672099999999986,,,,
022,E,30,56.08901,4A,2A,1,0.1758999999999986,,,,
022,E,30,56.26491,2A,4B,1,0.13407000000000124,,,,
022,E,30,56.39898,4B,4A,1,0.032869999999995514,,,,
022,E,30,58.96404,4A,PB,1,0.3993900000000039,,,,
