ID,condition,start_interval,start_transition,Node,AOI_duration,clicked,pupil_diameter,active_disruption,passive_disruption,number_clicked
022,E,540,540.0612,4B,0.1499999999999772,0,-0.2079356066833357,,,
022,E,540,540.0893,4A,0.0217999999999847,0,-0.0881109400166693,,,
022,E,540,540.563,1A,0.0666999999999689,0,-0.15592881501666905,,,
022,E,540,540.8689,1B,0.0415000000000418,0,-0.19936281501666908,,,
022,E,540,541.2985,4B,0.3807000000000471,0,-0.0783458462666691,,,
022,E,540,543.72,PB,1.757600000000025,0,-0.7249476571219323,,,
022,E,540,544.5632,4B,0.3497999999999592,0,-0.42506369001666905,,,
022,E,540,545.4274,5A,0.7328999999999724,0,-0.2338446445621236,,,
022,E,540,545.4606,7B,0.0331999999999652,0,-0.11678194001666897,,,
022,E,540,547.649,PB,1.5357000000000198,0,-0.6886209032519632,,,
022,E,540,548.2444,4A,0.0219999999999345,0,-0.3286429400166688,,,
022,E,540,548.4925,4B,0.1920999999999821,0,-0.41379132890555786,,,
022,E,540,549.2924,7A,0.2667999999999892,0,-0.3710858066833358,,,
022,E,540,549.3929,8A,0.0660000000000309,0,-0.07916144001666914,,,
022,E,540,549.5264,5A,0.0663999999999305,0,-0.16959294001666914,,,
022,E,540,550.026,8A,0.2331000000000358,0,-0.16407534001666907,,,
022,E,540,550.0588,5B,0.0331999999999652,0,-0.07881844001666893,,,
022,E,540,550.4266,8A,0.3681000000000267,0,-0.07696525819848722,,,
022,E,540,550.4601,5B,0.0327999999999519,0,-0.14865044001666927,,,
022,E,540,550.859,8B,0.0665000000000191,0,-0.07726514001666902,,,
022,E,540,552.525,8A,1.2322000000000344,1,-0.05547051448475418,,,
022,E,540,552.591,5B,0.0674000000000205,0,-0.07163169001666914,,,
022,E,540,553.2924,8A,0.3337999999999965,0,0.05354905998333104,,,
022,E,540,553.5575,6A,0.2001999999999952,0,0.19621739331666435,,,
022,E,540,553.5908,9A,0.033800000000042,0,0.08146755998333077,,,
022,E,540,553.6246,6A,0.0331999999999652,0,0.016701559983331116,,,
022,E,540,553.7242,9A,0.0336999999999534,0,-0.11751844001666911,,,
022,E,540,553.7579,6A,0.0327000000000907,0,-0.12241294001666914,,,
022,E,540,554.5898,3A,0.8324999999999818,0,-0.20709022001666902,,,
022,E,540,554.6564,6A,0.0334000000000287,0,-0.13786244001666947,,,
022,E,540,554.7905,9A,0.1346999999999525,0,-0.08793944001666909,,,
022,E,540,554.8245,6A,0.0329000000000405,0,-0.08722594001666906,,,
022,E,540,554.8574,9A,0.0329000000000405,0,-0.03652094001666928,,,
022,E,540,555.3791,6A,0.5217000000000098,0,-0.026668023350002415,,,
022,E,540,555.412,9A,0.0332999999999401,0,-0.23899744001666923,,,
022,E,540,559.105,PB,2.5307999999999997,0,-0.6689049895662184,,,
022,E,540,559.9324,2B,0.3325000000000955,0,-0.2848620763803054,,,
022,E,540,560.3986,5B,0.4664999999999963,0,-0.20320694001666909,,,
022,E,540,560.8649,8B,0.4663999999999078,0,-0.1972897614452405,,,
022,E,540,560.9651,6A,0.0670000000000072,0,-0.05612894001666913,,,
022,E,540,561.0982,9A,0.0670999999999821,0,-0.19483844001666917,,,
022,E,540,561.4882,6A,0.3559000000000196,0,-0.15393809386282292,,,
022,E,540,561.8871,9B,0.0342999999999165,0,0.06964660998333087,,,
022,E,540,562.3878,6B,0.499300000000062,0,0.07495862664999757,,,
022,E,540,562.6533,9B,0.0672000000000707,0,0.24674572664999758,,,
022,E,540,563.7208,2B,0.4670999999999594,0,0.12178941712618806,,,
022,E,540,563.788,2A,0.0327999999999519,0,0.17161605998333096,,,
022,E,540,563.8866,7A,0.065499999999929,0,0.15031905998333128,,,
022,E,540,563.9534,2A,0.0666999999999689,0,0.10237205998333088,,,
022,E,540,563.9866,7A,0.0332000000000789,0,0.23366605998333112,,,
022,E,540,564.0526,2A,0.0340999999999667,0,0.046380059983330835,,,
022,E,540,564.0867,7A,0.0341000000000804,0,-0.027289440016668998,,,
022,E,540,565.2736,PB,0.6020999999999503,0,-0.0640577000166691,,,
022,E,540,565.6641,4A,0.0292000000000598,0,-0.47608844001666917,,,
022,E,540,565.9399,4B,0.2664999999999509,0,-0.1922002127439418,,,
022,E,540,565.9598,7A,0.0276999999999816,0,-0.06967844001666901,,,
022,E,540,566.3734,5A,0.4198000000000093,0,-0.030332440016669075,,,
022,E,540,566.7088,5B,0.3005999999999176,0,0.04314844887221985,,,
022,E,540,567.6068,2B,0.0327999999999519,0,-0.21410294001666896,,,
022,E,540,567.9744,5A,0.3671000000000504,0,-0.41863916728939626,,,
022,E,540,568.2054,7A,0.0216999999998961,0,-0.3250086066833357,,,
022,E,540,568.8184,4A,0.0318999999999505,0,-0.09141290430238334,,,
022,E,540,569.9933,PB,3.967100000000073,0,-0.3562839572580484,,,
