ID,condition,start_interval,start_transition,Source,Target,Weight,trans_duration,trans_amplitude,head_rotation,table_switched,row_switched,AOI_duration_Source,pupil Diameter_Source,active_disruption_Source,passive_disruption_Source,clicked_Source,AOI_duration_Target,pupil Diameter_Target,active_disruption_Target,passive_disruptionTarget,clicked_Target
014,E,60,60.2204,7A,5A,1,0.2655500000000046,,,,,,,,,,,,,,
014,E,60,60.51959,5A,2A,1,0.09935999999999723,,,,,,,,,,,,,,
014,E,60,61.38558,2A,5A,1,0.034060000000003754,,,,,,,,,,,,,,
014,E,60,61.41964,5A,2B,1,0.03311999999999671,,,,,,,,,,,,,,
014,E,60,61.81895,2B,6A,1,0.2322500000000005,,,,,,,,,,,,,,
014,E,60,63.45127,6A,9B,1,0.032869999999995514,,,,,,,,,,,,,,
014,E,60,63.48414,9B,9A,1,0.034060000000003754,,,,,,,,,,,,,,
014,E,60,63.5182,9A,8B,1,0.03358000000000061,,,,,,,,,,,,,,
014,E,60,63.55178,8B,5B,1,0.16662000000000177,,,,,,,,,,,,,,
014,E,60,63.91771,5B,8A,1,0.06629999999999825,,,,,,,,,,,,,,
014,E,60,63.98401,8A,2B,1,0.03345000000000198,,,,,,,,,,,,,,
014,E,60,64.21808,2B,2A,1,0.03365999999999758,,,,,,,,,,,,,,
014,E,60,64.71837,2A,2B,1,0.03378000000000725,,,,,,,,,,,,,,
014,E,60,66.05122,2B,2A,1,0.03331000000000017,,,,,,,,,,,,,,
014,E,60,68.34901,2A,PB,1,0.5651399999999995,,,,,,,,,,,,,,
014,E,60,70.68105,PB,4A,1,0.5888500000000079,,,,,,,,,,,,,,
014,E,60,71.66991,4A,7B,1,0.26631999999999323,,,,,,,,,,,,,,
014,E,60,72.03645,7B,4B,1,0.03271999999999764,,,,,,,,,,,,,,
014,E,60,72.70267,4B,7A,1,0.0664600000000064,,,,,,,,,,,,,,
014,E,60,72.76913,7A,5A,1,0.03331000000000017,,,,,,,,,,,,,,
014,E,60,72.80244,5A,5B,1,0.03391999999999484,,,,,,,,,,,,,,
014,E,60,72.86928,5B,2B,1,0.033289999999993825,,,,,,,,,,,,,,
014,E,60,72.90257,2B,5B,1,0.03340000000000032,,,,,,,,,,,,,,
014,E,60,72.93597,5B,2B,1,0.03386000000000422,,,,,,,,,,,,,,
014,E,60,72.96983,2B,5B,1,0.033109999999993533,,,,,,,,,,,,,,
014,E,60,73.13576,5B,8A,1,0.033769999999989864,,,,,,,,,,,,,,
014,E,60,73.16953,8A,5A,1,0.032859999999999445,,,,,,,,,,,,,,
014,E,60,73.43536,5A,6B,1,0.1001799999999946,,,,,,,,,,,,,,
014,E,60,73.66882,6B,6A,1,0.23284000000001015,,,,,,,,,,,,,,
014,E,60,74.70145,6A,2A,1,0.16737000000000535,,,,,,,,,,,,,,
014,E,60,75.10213,2A,4B,1,0.06589999999999918,,,,,,,,,,,,,,
014,E,60,76.76776,4B,PB,1,0.3984800000000064,,,,,,,,,,,,,,
014,E,60,79.61026,PB,1A,1,0.2668600000000083,,,,,,,,,,,,,,
014,E,60,80.06601,1A,1B,1,0.06650999999999385,,,,,,,,,,,,,,
014,E,60,80.69864,1B,PB,1,0.46576000000000306,,,,,,,,,,,,,,
014,E,60,82.67671,PB,7B,1,0.7768300000000039,,,,,,,,,,,,,,
014,E,60,83.45354,7B,5A,1,0.06668999999999414,,,,,,,,,,,,,,
014,E,60,83.78662,5A,2B,1,0.033140000000003056,,,,,,,,,,,,,,
014,E,60,84.8858,2B,6A,1,0.06692999999999927,,,,,,,,,,,,,,
014,E,60,87.05144,6A,3A,1,0.03325999999999851,,,,,,,,,,,,,,
014,E,60,87.65108,3A,6B,1,0.033670000000000755,,,,,,,,,,,,,,
014,E,60,87.68475,6B,3A,1,0.03292000000000428,,,,,,,,,,,,,,
014,E,60,89.55063,3A,2B,1,0.19962999999999909,,,,,,,,,,,,,,
014,E,60,89.75026,2B,5B,1,0.03386000000000422,,,,,,,,,,,,,,
