00:00;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00:00;07:30;08:00:00;08:30;09:00:00;09:30;10:00
;IA1;;;IA1;IA1;;;;;;;;;IA1;;;IA1;P2;;
;IA1;;;IA1;IA1;IA4;;;IA4;;P2;P2;P2;IA1;;IA4;IA1;;;
;;;;;;IA4;;;;;IA1;IA1;;IA1;;IA4;;;;
;;;;;;;;;;;IA1;IA1;;IA1;;;;;;
P3;;;P3;;;;;P3;;;;;;;P3;P3;;;;
P3;;;P3;P3;P3;;;;P3;;;;;;P3;P3;;;;
;;;;;;;;;;;;;;;IA1;;;;;
;P1;P1;;;;;;;IA4;;;;;;IA1;;P2;P2;P2;
;;IA1;IA1;;IA2;IA2;;;;IA2;IA2;IA2;;;;IA1;IA1;;;
;;IA1;IA1;;IA2;IA2;;;;IA2;IA2;IA2;;;;IA1;IA1;;;
;;;;IA1;IA1;IA1;;IA1;;P1;;;;IA1;IA5;;;P1;P1;
;;P2;;IA1;IA1;IA1;;IA1;;;;;;IA1;IA5;;;;;
;;;;IA1;;;;;;;;;;;;;;;;
;;;;IA1;P2;P2;P1;IA4;IA4;;P2;;;;;;;;;
;;;P2;;;;;;;;IA1;IA1;;;;;;;;
;;;P4;P4;;;;;;;IA1;IA1;;;;P1;;;;
;;;;P1;P1;;;IA4;IA4;;;;;;IA5;IA1;;;;
;;;;;;;;;;;;;;;;IA1;;;;
